source_name,source_domain,url,title,description,published_at,retrieved_at,query_used,article_id,feed_url
New York Times,nytimes.com,https://www.nytimes.com/2026/02/13/world/middleeast/board-peace-pledges-gaza.html,Trump’s ‘Board of Peace’ Said to Have Raised First Pledges for Gaza,"The United Arab Emirates and the United States have each committed more than $1 billion to President Trump’s new international initiative, officials said.",2026-02-13T23:05:05+00:00,2026-02-16T17:10:31.001931+00:00,rss_keyword_filter,0789a68e2c58b4f2,https://rss.nytimes.com/services/xml/rss/nyt/MiddleEast.xml
The Guardian,theguardian.com,https://www.theguardian.com/us-news/2026/feb/13/alexandria-ocasio-cortez-israel-military-aid,Ocasio-Cortez says US military aid to Israel ‘enabled a genocide in Gaza’,New York congresswoman criticizes ‘unconditional’ US aid and calls for enforcement of Leahy laws Alexandria Ocasio-Cortez said during a Munich security conference panel on Friday on the future of foreign policy that the Democratic party’s next presidential nominee should reconsider the country’s military aid to Israel. Hagar Shezaf of the Israeli newspaper Haaretz asked the US congresswoman if she thought “the Democratic presidential candidate in the 2028 elections should re-evaluate military aid to Israel”. Continue reading...,2026-02-14T00:00:21+00:00,2026-02-16T17:10:28.936969+00:00,rss_keyword_filter,3f154fb684bfa33b,https://www.theguardian.com/world/israel-hamas-war/rss
The Guardian,theguardian.com,https://www.theguardian.com/australia-news/2026/feb/14/isaac-herzog-australia-visit-reaction-ntwnfb,"Isaac Herzog’s four days in Australia left him ‘energised’. For the Jewish community, some saw solidarity while others felt ‘serious angst’","The Israeli president’s visit to console victims of the Bondi beach terror attack was not without controversy Get our breaking news email , free app or daily news podcast This week’s visit to Australia by the Israeli president, Isaac Herzog, has lived up to its controversial billing as police in Sydney clashed with protesters and Muslims praying in the street with such violence it sparked an independent investigation , and the guest of honour went from place to place in secrecy and high security. Anthony Albanese said the visit would help to foster unity in Australia and that the Israeli president came “to offer sympathy and solidarity to people who are mourning and offer his support to members of Australia’s Jewish community” following the Bondi beach terror attack where 15 people attending a Hanukah celebration were killed . Continue reading...",2026-02-14T03:58:30+00:00,2026-02-16T17:10:28.936867+00:00,rss_keyword_filter,6b58486388d0cbd5,https://www.theguardian.com/world/israel-hamas-war/rss
New York Times,nytimes.com,https://www.nytimes.com/2026/02/14/world/middleeast/beirut-drones-sound-israel-airstrikes.html,Life in Beirut Beneath the Drones,"More than a year into a cease-fire, the mechanical whir of Israeli drones above the Lebanese capital is a reminder that, in many ways, the war never really ended.",2026-02-14T10:00:45+00:00,2026-02-16T17:10:31.001757+00:00,rss_keyword_filter,385aeb1e3efa4b3c,https://rss.nytimes.com/services/xml/rss/nyt/MiddleEast.xml
The Guardian,theguardian.com,https://www.theguardian.com/uk-news/2026/feb/14/palestine-action-ban-backfired-says-co-founder-huda-ammori,"Ban on Palestine Action ‘massively backfired’, says group’s co-founder",Huda Ammori calls for proscription to be lifted after high court finds it to be very serious interference with protest rights The co-founder of Palestine Action has said the ban on the group “massively backfired” and called for its proscription to be suspended after the high court found it to be unlawful . Three senior judges ruled on Friday that the ban was disproportionate and constituted very serious interference with the rights to protest and free speech. Continue reading...,2026-02-14T12:04:41+00:00,2026-02-16T17:10:28.936756+00:00,rss_keyword_filter,683831ecd1f03d7d,https://www.theguardian.com/world/israel-hamas-war/rss
Fox News,foxnews.com,https://www.foxnews.com/world/aoc-accuses-israel-genocide-germany-where-holocaust-launched-sparking-outrage,"AOC accuses Israel of genocide in Germany where Holocaust was launched, sparking outrage",Rep. Alexandria Ocasio-Cortez faces intense criticism after claiming U.S. aid &quot;enabled genocide&quot; in Gaza during controversial Munich speech in Germany on Friday.,2026-02-14T12:15:40+00:00,2026-02-16T17:10:31.843319+00:00,rss_keyword_filter,7b6b1754900018cb,https://moxie.foxnews.com/google-publisher/world.xml
Hindustan Times,hindustantimes.com,https://www.hindustantimes.com/world-news/israeli-airstrikes-kill-9-in-gaza-including-tent-camp-palestinian-officials-say-101771144882448.html,"Israeli airstrikes kill 9 in Gaza, including tent camp, Palestinian officials say","Israel and Hamas have repeatedly accused each other of violating the ceasefire deal, a key element of US President Donald Trump's plan to end the Gaza war.",2026-02-15T09:07:38+00:00,2026-02-16T17:10:38.027479+00:00,rss_keyword_filter,f23ec187473adae2,https://www.hindustantimes.com/feeds/rss/world-news/rssfeed.xml
The Guardian,theguardian.com,https://www.theguardian.com/film/2026/feb/15/berlin-film-festival-berlinale-arundhati-roy-politics-wim-wenders,Berlin film festival defends Wim Wenders after Arundhati Roy attacked ‘jaw-dropping’ comments,"Berlinale head says artists should not be pushed into soundbites after author quit over president’s remarks that film-makers should ‘stay out of politics’ The Berlin film festival has issued a lengthy statement “in defence of our film-makers, and especially our jury and jury president”, after what it described as a “media storm that has swept over the Berlinale” in its first few days. The defence follows criticism levelled at the jury, in particular president, Wim Wenders, for comments made when fielding questions about the war in Gaza. Asked during the opening press conference if films can effect political change, the German film-maker said that “movies can change the world” but “not in a political way”, adding that film-makers “have to stay out of politics”. Continue reading...",2026-02-15T14:48:05+00:00,2026-02-16T17:10:28.936576+00:00,rss_keyword_filter,83f625afb74540d9,https://www.theguardian.com/world/israel-hamas-war/rss
Hindustan Times,hindustantimes.com,https://www.hindustantimes.com/world-news/us-news/erika-kirk-arrested-amid-allegations-of-grooming-15-year-old-viral-claim-fact-checked-101771167582923.html,Was Erika Kirk arrested amid allegations of ‘grooming' 15-year-old? Viral claim fact checked,False claims say Erika Kirk was arrested while fleeing to Israel amid grooming claim by Candace Owens; reports confirm she isn’t investigated or arrested.,2026-02-15T15:20:35+00:00,2026-02-16T17:10:38.026960+00:00,rss_keyword_filter,3a5e6bf67cd6dab3,https://www.hindustantimes.com/feeds/rss/world-news/rssfeed.xml
New York Times,nytimes.com,https://www.nytimes.com/2026/02/15/world/middleeast/trump-israel-herzog-attacks.html,Trump’s Stinging Attack on Israel’s President Touches a Nerve,President Trump called President Isaac Herzog of Israel “disgraceful” because he has not yet pardoned Prime Minister Benjamin Netanyahu in his corruption trial.,2026-02-15T16:04:39+00:00,2026-02-16T17:10:31.001267+00:00,rss_keyword_filter,f46d6a9739ba969c,https://rss.nytimes.com/services/xml/rss/nyt/MiddleEast.xml
