source_name,source_domain,url,published_at,retrieved_at,article_id,discovery_method,sitemap_url,title,description,fetched_at,http_status,notes,shortlist,relevance_score,relevance_hits
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/16/kyrie-irving-wears-press-shirt-for-gaza-journalists-at-nba-all-star-game,2026-02-16T13:24:35Z,2026-02-19T09:33:30+00:00,90438c816654,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/16-02-2026.xml,Kyrie Irving wears PRESS shirt for Gaza journalists at NBA All-Star Game,"Basketball star honours media workers, nearly 300 of whom have been killed in Israeli attacks since October 2023.",2026-02-19T09:49:25+00:00,200,,1,7,israel|israeli|gaza
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/16/europes-growing-fight-over-israeli-goods-boycott-movements-mushroom,2026-02-16T05:49:07Z,2026-02-19T09:33:30+00:00,681d9eea12ee,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/16-02-2026.xml,Europe’s growing fight over Israeli goods: Boycott movements mushroom,"From a supermarket worker's grassroots act to state-led initiatives, a protest grows. But pro-Israel groups battle back.",2026-02-19T09:49:26+00:00,200,,1,5,israel|israeli
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/16/israels-move-to-register-land-systematises-dispossession-of-palestinians,2026-02-16T09:12:13Z,2026-02-19T09:33:30+00:00,c880373de419,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/16-02-2026.xml,Israel’s move to register land ‘systematises dispossession’ of Palestinians,Israeli rights groups say land registration in West Bank will further Israel's aim of annexing Palestinian territory.,2026-02-19T09:49:27+00:00,200,,1,10,israel|israeli|palestin|west bank|pa
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/15/israel-bombs-lebanon-syria-border-kills-four-people,2026-02-16T01:24:44Z,2026-02-19T09:33:31+00:00,1ccc6cee138b,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/15-02-2026.xml,"Israel bombs Lebanon-Syria border, kills four people","Lebanese authorities say Israeli forces bombed a vehicle near the border, killing at least four people.",2026-02-19T09:49:28+00:00,200,,1,5,israel|israeli
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/15/at-least-11-palestinians-killed-in-israeli-attacks-across-gaza,2026-02-16T01:50:48Z,2026-02-19T09:33:31+00:00,ee166528ee19,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/15-02-2026.xml,Israel kills 11 in Gaza as Trump announces $5bn pledge from Board of Peace,US President Donald Trump says the first meeting of his newly created Board of Peace will take place on Thursday.,2026-02-19T09:49:28+00:00,200,,1,6,israel|gaza|un
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/15/thousands-of-western-nationals-fought-israels-war-on-gaza-what-to-know,2026-02-15T15:57:54Z,2026-02-19T09:33:31+00:00,fb85c7c978c3,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/15-02-2026.xml,Thousands of Western nationals fought Israel’s war on Gaza: What to know,"Thousands of Western citizens joined the Israeli military in its war on Gaza that killed over 72,000 Palestinians.",2026-02-19T09:49:29+00:00,200,,1,11,israel|israeli|palestin|gaza|israeli military|pa
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/15/israel-approves-proposal-to-register-west-bank-lands-as-state-property,2026-02-16T05:09:37Z,2026-02-19T09:33:31+00:00,255f662d0f3a,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/15-02-2026.xml,‘De facto annexation’: Palestinians slam Israel’s West Bank land plans,"Israel approves plan to claim West Bank land unless Palestinians prove ownership, prompting 'annexation' accusations.",2026-02-19T09:49:30+00:00,200,,1,9,israel|palestin|west bank|pa|un
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/15/gazas-nasser-hospital-slams-msfs-unsubstantiated-armed-men-allegation,2026-02-15T12:11:03Z,2026-02-19T09:33:31+00:00,05059363cc97,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/15-02-2026.xml,Gaza hospital rejects MSF’s ‘unsubstantiated’ allegation on armed men,"Hospital says MSF issued statements that 'misrepresent facts, mirror narratives historically used to justify' attacks.",2026-02-19T09:49:31+00:00,200,,1,3,gaza|un
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/15/israeli-forces-kill-eight-palestinians-in-attacks-across-gaza,2026-02-15T05:07:10Z,2026-02-19T09:33:31+00:00,8e6e96719854,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/15-02-2026.xml,"Israeli forces kill nine Palestinians in Gaza, attack southern Lebanon",Medical sources say Israeli forces killed five Palestinians in southern Khan Younis and four in northern al-Faluja.,2026-02-19T09:49:32+00:00,200,,1,12,israel|israeli|palestin|gaza|khan younis|pa|un
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/14/gunmen-onsite-force-msf-to-stop-work-at-gazas-nasser-hospital,2026-02-14T22:08:32Z,2026-02-19T09:33:32+00:00,8c1072d77714,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/14-02-2026.xml,Onsite gunmen force MSF to stop work at Gaza’s Nasser Hospital,Medical charity's announcement comes on the heels of Israel's recent ban on its operations in Gaza.,2026-02-19T09:49:32+00:00,200,,1,6,israel|gaza|un
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/14/over-100-artists-for-palestine-back-uns-albanese-after-resignation-calls,2026-02-15T05:34:41Z,2026-02-19T09:33:32+00:00,6a8f7bd63180,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/14-02-2026.xml,Over 100 artists for Palestine back UN’s Albanese after resignation calls,UN Special Rapporteur Francesca Albanese faces calls to step down by France and Germany despite debunked remarks.,2026-02-19T09:49:33+00:00,200,,1,4,palestin|pa|un
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/14/icu-patients-lives-at-risk-in-gazas-al-aqsa-hospital-amid-israels-war,2026-02-14T12:24:25Z,2026-02-19T09:33:32+00:00,391122567bbc,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/14-02-2026.xml,ICU patients’ lives at risk in Gaza’s Al-Aqsa Hospital amid Israel’s war,The hospital may be forced in the coming hours to ration electricity so that certain wards can be prioritised.,2026-02-19T09:49:34+00:00,200,,1,6,israel|gaza|pa
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/14/au-calls-for-end-to-extermination-of-palestinians-decries-african-wars,2026-02-14T10:51:00Z,2026-02-19T09:33:32+00:00,052198dea212,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/14-02-2026.xml,"AU calls for end to ‘extermination’ of Palestinians, decries African wars",African heads of state gather in Ethiopia's Addis Ababa for the 39th African Union Summit.,2026-02-19T09:49:35+00:00,200,,1,4,palestin|pa|un
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/14/arundhati-roy-shocked-by-jurys-gaza-remarks-quits-berlin-film-festival,2026-02-14T03:16:06Z,2026-02-19T09:33:32+00:00,a0426f8081d4,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/14-02-2026.xml,"Arundhati Roy ‘shocked’ by jury’s Gaza remarks, quits Berlin film festival",Jury chair Wim Wenders said filmmakers 'have to stay out of politics' when asked about German support for Israel's war.,2026-02-19T09:49:36+00:00,200,,1,6,israel|gaza|un
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/13/palestine-action-cofounder-ammori-after-high-court-win-uk-ban-backfired,2026-02-14T08:48:24Z,2026-02-19T09:33:32+00:00,d8425ae83af6,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/13-02-2026.xml,"After High Court victory, Palestine Action founder says UK ban ‘backfired’",Huda Ammori celebrates 'victory for Palestine' as top court rules proscription as a 'terror' organisation was unlawful.,2026-02-19T09:49:37+00:00,200,,1,4,palestin|pa|un
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/13/uk-court-says-palestine-action-ban-unlawful-what-does-the-verdict-mean,2026-02-13T16:05:51Z,2026-02-19T09:33:32+00:00,0572795ee483,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/13-02-2026.xml,UK court says Palestine Action ban ‘unlawful’: What does the verdict mean?,Activists welcome the court ruling but the UK government says it will appeal the verdict.,2026-02-19T09:49:39+00:00,200,,1,4,palestin|pa|un
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/13/israeli-settlers-injure-dozens-of-palestinians-in-wave-of-west-bank-attacks,2026-02-13T18:26:27Z,2026-02-19T09:33:32+00:00,21b2962ac400,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/13-02-2026.xml,Israeli settlers injure dozens of Palestinians in wave of West Bank attacks,Latest attacks come amid a widely condemned Israeli push to cement control over the occupied Palestinian territory.,2026-02-19T09:49:40+00:00,200,,1,12,israel|israeli|palestin|west bank|pa|settlers
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/13/why-did-israel-jail-journalist-who-witnessed-shireen-abu-aklehs-killing,2026-02-13T16:06:42Z,2026-02-19T09:33:32+00:00,a9508c33d6da,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/13-02-2026.xml,Why did Israel jail journalist who witnessed Shireen Abu Akleh’s killing?,Palestinian Ali al-Samoudi was with Al Jazeera's Abu Akleh when she was shot dead by an Israeli sniper in 2022.,2026-02-19T09:49:41+00:00,200,,1,8,israel|israeli|palestin|pa
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/13/a-palestinian-cancer-patient-stuck-in-egypt-for-two-years-returns-to-gaza,2026-02-13T11:00:51Z,2026-02-19T09:33:32+00:00,379613a1b21b,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/13-02-2026.xml,A Palestinian cancer patient stuck in Egypt for two years returns to Gaza,"The al-Najjar family is finally reunited with its matriarch, Mariam, who returned via the Rafah crossing.",2026-02-19T09:49:42+00:00,200,,1,10,palestin|gaza|rafah|pa|un|rafah crossing
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/13/uk-decision-to-ban-palestine-action-as-terror-group-unlawful-court-says,2026-02-13T15:32:39Z,2026-02-19T09:33:32+00:00,25e71417ec57,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/13-02-2026.xml,"UK decision to ban Palestine Action as ‘terror group’ unlawful, court says",Group's cofounder declares ruling a 'monumental victory ... in the struggle for freedom for the Palestinian people'.,2026-02-19T09:49:43+00:00,200,,1,4,palestin|pa|un
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/13/former-israeli-pm-barak-responds-to-criticism-over-close-epstein-links,2026-02-13T08:46:38Z,2026-02-19T09:33:32+00:00,9111b3340242,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/13-02-2026.xml,Former Israeli PM Barak responds to criticism over close Epstein links,"Ehud Barak, whose relationship with sex offender Jeffrey Epstein spanned 15 years, says he regrets ever meeting him.",2026-02-19T09:49:44+00:00,200,,1,6,israel|israeli|pa
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/12/trump-calls-israels-president-disgraceful-for-not-pardoning-netanyahu,2026-02-12T20:49:18Z,2026-02-19T09:33:33+00:00,35dd976b79ef,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/12-02-2026.xml,Trump calls Israel’s president ‘disgraceful’ for not pardoning Netanyahu,The US president tells reporters that Isaac Herzog should be 'ashamed' for not pardoning Netanyahu's bribery charges.,2026-02-19T09:49:44+00:00,200,,1,3,israel|pa
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/12/israel-charges-two-over-betting-on-military-operations,2026-02-12T17:38:43Z,2026-02-19T09:33:33+00:00,af477389f8c8,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/12-02-2026.xml,Israel charges two over betting on military operations,A civilian and a military reservist were suspected of placing bets on future military operations.,2026-02-19T09:49:45+00:00,200,,1,2,israel
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/12/corbyn-alleges-uk-complicity-after-streetings-admission-of-gaza-abuses,2026-02-12T17:31:46Z,2026-02-19T09:33:33+00:00,b86793cb7b16,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/12-02-2026.xml,Corbyn alleges UK ‘complicity’ after Streeting’s admission of Gaza abuses,Jeremy Corbyn asks government minister Wes Streeting why he did not resign despite acknowledging Israeli war crimes.,2026-02-19T09:49:45+00:00,200,,1,8,israel|israeli|gaza|war crimes
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/12/bezalel-smotrichs-gradual-struggle-annex-west-bank-israel,2026-02-12T18:31:28Z,2026-02-19T09:33:33+00:00,269241fcf620,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/12-02-2026.xml,Bezalel Smotrich’s long struggle to annex the West Bank for Israel,"Born of Israel's settler community, the finance minister has subverted the Palestinian West Bank's few protections.",2026-02-19T09:49:46+00:00,200,,1,9,israel|palestin|west bank|pa|un
